edades,meses_antiguedad,sexo,Región,Estado,beneficio,cargo,planes,sms cantidad,llamada minutos,datos_gb,Facebook,Instagram,TikTok,WhatsApp,YouTube,X,Netflix,Spotify,Uber,prob_abandono_personal
32,12,Hombre,R4,Coahuila,Prepago,112,Plan amigo,6,44,1,0.1,0.1,0.1,0.1,0.15522178689658644,0.1,0.1,0.1,0.1,0.53
27,7,Mujer,R2,Sinaloa,Postpago,445,Medio,3,23,10,1.3987796884726316,0.44084870040234025,0.6495618701368766,0.5865615717650311,0.20592198414090784,0.10068181348042428,0.1,0.6447900168779169,0.421254116401645,0.25
33,12,Mujer,R7,Tlaxcala,Postpago,870,Premium,12,42,50,3.6010757447667787,10.779766909621989,6.704244749930849,3.9304572986446797,4.190420997745799,1.2420367597577866,1.6973229304906141,1.184351547513051,0.6970574971014752,0.07
40,0,Hombre,R2,Sonora,Prepago,280,Plan amigo,14,69,2,0.1,0.4761480346462259,0.12723596614934463,0.1,0.20100578073559464,0.16360155862134604,0.1,0.1,0.1,0.65
26,7,Hombre,R5,Nayarit,Prepago,116,Plan amigo,10,27,2,0.18308613834297172,0.35623838066268787,0.1,0.10067700782306302,0.1,0.1,0.1,0.13408496930766353,0.1,0.53
26,7,Hombre,R7,Puebla,Prepago,81,Plan amigo,7,57,2,0.14250630794502472,0.4717305440838521,0.15162136101232132,0.1,0.1,0.21053623643157052,0.1,0.1,0.1,0.63
41,50,Hombre,R1,Baja California Sur,Prepago,710,Plan amigo,12,54,10,2.2679665947242262,0.5654503237245779,0.1,0.6172641820375712,2.0839636104542367,0.5416674189464907,1.1509733407252922,0.213022165225263,0.36482439096693503,0.3
34,12,Mujer,R9,Hidalgo,Postpago,30,Básico,4,46,4,0.3467749626866597,0.7582654624945526,0.6541921659524169,0.21847060534119322,0.10668399435929123,0.5362613320326475,0.14166596208044677,0.1,0.1,0.43
24,7,Mujer,R2,Sonora,Prepago,624,Plan amigo,6,58,8,0.8013105758467334,0.5055527473183001,2.0347430123743018,0.2266485451450434,0.1,0.42813426815762967,0.3592909162420644,0.5574303167292384,0.3156464051507216,0.42
32,12,Mujer,R7,Tlaxcala,Postpago,131,Básico,9,57,4,0.6799141097943688,0.189982800452568,0.11499697060366895,0.22548138666735093,0.24307990860559106,0.483562353468281,0.1998303398329452,0.18675448698625435,0.1,0.33
24,7,Hombre,R6,Guanajuato,Prepago,476,Plan amigo,2,68,5,0.3744469248467161,0.6413893347163956,0.43484751280032663,0.25931661259929906,0.1,0.2901640713543292,0.1215662614322954,0.1,0.13294933306891274,0.5
24,7,Mujer,R1,Baja california Norte,Postpago,224,Básico,6,21,4,0.218629236472498,0.1,0.42489695258136384,0.10977784525694781,0.1,0.1,0.1297211767182589,0.2053279667568733,0.12572925397457937,0.38
30,12,Mujer,R7,Tlaxcala,Postpago,340,Medio,10,9,6,0.8821849871497439,0.703499139054637,0.7142933570189353,0.4740720834057894,0.5031227801857923,0.6233697157590349,0.2040316750670943,0.131487489084708,0.11177163593671913,0.25
16,0,Hombre,R1,Baja California Sur,Prepago,468,Plan amigo,10,65,4,0.1323923257546351,0.3673730308596499,0.33107294995652997,0.13501687811463847,0.1,0.29157372272682125,0.1947902597863973,0.23064159085537198,0.1,0.65
16,0,Hombre,R4,Nuevo León,Prepago,97,Plan amigo,7,44,1,0.14248939855218878,0.14902337769409935,0.13183208449792252,0.1,0.1,0.1,0.1,0.1,0.1,0.75
24,7,Hombre,R1,Baja California Sur,Prepago,382,Plan amigo,4,44,4,0.30937083290121986,0.6763736581052611,0.7384857809983761,0.2865630886284846,0.1,0.28981292449309143,0.1,0.20472865677681693,0.14396863663280599,0.58
20,7,Hombre,R2,Sonora,Prepago,109,Plan amigo,3,61,1,0.1,0.16737717585266865,0.13611324316642018,0.1,0.1,0.1,0.1,0.1,0.1,0.58
31,12,Hombre,R9,Querétaro Sur,Prepago,881,Plan amigo,7,22,11,1.5627503514914307,1.6717186044035228,0.20871034122379567,0.9880155582523716,1.400159101618235,0.15615455316348556,0.6580812790990758,0.1338911610450285,0.1603201011103207,0.37
21,7,Hombre,R1,Baja california Norte,Prepago,673,Plan amigo,7,19,7,0.5062096152491359,0.7703072107327601,1.8838388914438189,0.27922387680956295,0.1,0.7981647621365228,0.38884981064593405,0.35555713717918397,0.169131096822203,0.42
17,0,Hombre,R8,Tabasco,Prepago,140,Plan amigo,2,29,2,0.1,0.3862551571227093,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.65
40,0,Mujer,R1,Baja California Sur,Prepago,671,Plan amigo,5,49,7,0.2727661283700929,0.23259588153700475,0.3902283052547583,0.49355167755449697,1.0352985132881227,0.492943652302766,0.27188291499061884,0.1,0.1,0.49
26,7,Hombre,R9,Hidalgo,Prepago,318,Plan amigo,4,4,4,0.17686840930918027,0.5513329849589801,0.908297286583192,0.21212896003560713,0.1,0.1,0.19089320461473042,0.11698569066982653,0.1447008793953159,0.53
29,7,Hombre,R4,Nuevo León,Prepago,779,Plan amigo,1,65,11,0.8639879198861627,1.9960632999763372,3.014451849273921,0.8558958546447988,0.22417546588822296,0.7181783053912669,0.20765793474974775,0.7445432354664521,0.2608625655959731,0.37
17,0,Hombre,R1,Baja California Sur,Prepago,353,Plan amigo,7,64,5,0.13374131280111742,0.5646295043817359,0.2778745503332055,0.22499242022877342,0.10629428649584362,0.22914322643640778,0.1,0.3410171879727683,0.1892310974202882,0.57
24,7,Hombre,R3,Durango,Prepago,501,Plan amigo,11,21,8,0.978764937759106,0.7854281625609231,1.8642615072435689,0.3492258798501186,0.1,0.17548334570886312,0.18658278945628148,0.11234801512903508,0.3833796010715382,0.5
29,7,Mujer,R2,Sonora,Postpago,423,Medio,13,19,10,0.16211000287183763,1.1481616625867312,1.4658618626930753,0.29169543200803366,0.2159741260775336,0.24797426704973002,0.47899093312885077,0.2714048666624129,0.2969214802297914,0.25
19,7,Hombre,R9,Morelos,Prepago,815,Plan amigo,5,41,10,1.0578191332739932,2.1514543436259608,2.54020482206616,0.5329142780331907,0.15450010860898597,0.6435892304839596,0.4704914842921294,0.6377106045999659,0.1,0.42
31,12,Hombre,R9,Estado de México,Prepago,395,Plan amigo,1,41,4,0.3066234083953319,0.7594004721784965,0.40568398135577005,0.14467043064135612,0.32440885226523714,0.3624893358723421,0.2879476227431658,0.10114424329553208,0.1,0.53
23,7,Hombre,R2,Sinaloa,Prepago,201,Plan amigo,11,38,2,0.1,0.1,0.35293765155426,0.1,0.1,0.171753787045375,0.1,0.1,0.1,0.58
26,7,Hombre,R4,Nuevo León,Prepago,965,Plan amigo,4,42,18,2.5689490697424833,1.7970343343741602,4.194440425650753,0.7396861220601714,0.5230149518903182,1.694350849385818,0.7450980734001238,1.1203398876791328,0.8149857942693652,0.37
23,7,Mujer,R3,Durango,Prepago,286,Plan amigo,0,47,1,0.1,0.1,0.13161610926034098,0.1,0.1,0.1,0.1,0.1,0.1,0.58
43,50,Hombre,R2,Sonora,Prepago,170,Plan amigo,11,6,2,0.3198153364882699,0.27490691556423164,0.11362988709361488,0.1,0.11513994607903283,0.1,0.1,0.1,0.1,0.46
28,7,Hombre,R9,Estado de México,Prepago,469,Plan amigo,9,27,5,0.18452354578074837,0.15566142467036953,0.3400050862646053,0.41387747454649254,0.1,0.525713482633183,0.2576506906672761,0.19587057130752553,0.17429804669516175,0.45
20,7,Mujer,R9,Estado de México,Postpago,323,Medio,5,32,6,0.21303522119681118,1.0212051714217647,0.5776060931623264,0.4250020103131525,0.1,0.5675491881789065,0.1,0.3840955003157853,0.10097017447468899,0.3
35,12,Mujer,R7,Veracruz,Postpago,31,Básico,12,70,4,0.4877523411661462,0.5008020416437707,0.3529868563395501,0.25692635301296507,0.6847354429304319,0.1,0.2661876476613784,0.1219474325797656,0.1,0.43
18,7,Mujer,R1,Baja California Sur,Postpago,262,Básico,11,31,4,0.2447711749662676,0.48677130545450187,1.0531128420173035,0.15249632333236052,0.1,0.1,0.1,0.19168533334362614,0.14128226067064675,0.38
