genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,churn,Fuerza de ventas,churn2
Masculino,67,28,Baja California,Postpago,app,542,7,38,40,4.85,6.38,4.41,2.71,7.79,0.36,3.64,2.1,2.19,No,136.829,No
Masculino,25,42,Nayarit,Prepago,app,312,14,24,39,0.65,1.65,0.83,0.93,1.84,0.46,1.24,0.76,1.47,No,84.549,No
Masculino,30,31,Jalisco,Postpago,app,946,8,30,10,1.15,2.51,1.34,0.46,2.87,1.39,2.27,0.29,1.71,No,202.547,No
Femenino,34,68,Baja California,Prepago,app,140,12,69,52,0.97,2.5,1.49,0.58,3.26,1.16,2.75,0.14,0.71,No,61.318,No
Femenino,27,36,San Luis Potosi,Postpago,tienda,460,14,18,31,6.31,10.81,5.97,4.18,7.71,4.35,6.36,1.93,5.39,No,123.503,No
Femenino,17,46,Nuevo León,Prepago,app,90,8,55,11,5.25,12.13,5.34,0.52,8.2,4.87,6.57,1.56,6.79,No,46.319,No
Femenino,68,33,Oaxaca,Prepago,tienda,341,3,60,34,0.54,1.01,0.45,0.06,1.01,0.21,0.71,0.06,0.69,No,87.772,No
Femenino,32,21,Quintana Roo,Prepago,app,748,9,42,42,1.2,2.13,0.98,0.34,2.18,0.87,1.18,0.48,0.64,No,170.45,No
Masculino,27,9,Guanajuato,Postpago,tienda,757,3,58,35,1.25,1.77,0.87,0.88,2.76,0.35,2.11,0.6,1.4,No,169.747,No
Femenino,49,13,Baja California,Postpago,app,666,12,66,36,0.74,1.04,0.32,0.09,1.1,0.06,0.65,0.06,0.72,Sí,150.684,Sí
Femenino,64,67,Baja California Sur,Prepago,app,954,4,13,4,3.71,7.42,3.34,2.15,6.75,1.32,4.47,0.72,4,Sí,212.864,Sí
Masculino,37,20,San Luis Potosi,Postpago,app,598,14,46,18,2.76,6.75,3.01,1.27,5.63,3.14,5.78,0.3,3.35,No,139.897,No
Femenino,30,22,Sinaloa,Postpago,tienda,520,9,49,25,1.44,5.77,2.14,0.71,6.7,1.16,4.49,1.95,1.77,Sí,125.089,Sí
Masculino,36,38,México,Prepago,app,403,8,7,23,4.1,7.04,2.98,0.96,5.09,2.62,3.6,0.6,1.91,Sí,102.22,Sí
Femenino,49,41,Nayarit,Prepago,app,867,9,19,53,2.27,5.15,2.43,1.66,5.42,1.25,4.35,1.14,3.33,No,204.5,No
Masculino,15,70,Puebla,Prepago,app,137,13,8,8,5.22,8.77,5.27,1.4,8.71,2.42,5.95,0.43,4.07,No,53.372,No
Masculino,37,62,Yucatán,Prepago,tienda,854,14,32,27,2.19,2.94,0.68,0.16,3.21,0.29,1.6,0.92,2.37,Sí,194.108,Sí
Femenino,24,34,Aguascalientes,Postpago,tienda,110,12,66,35,0.37,1.5,0.9,0.38,1.56,0.42,0.86,0.15,0.86,No,43,No
Masculino,30,59,Morelos,Prepago,tienda,182,8,68,47,2.8,6.46,4.93,2.2,5.96,3.11,6.83,1.7,2.67,Sí,73.748,Sí
Masculino,47,56,Guerrero,Postpago,tienda,845,3,27,25,0.98,1.36,0.44,0.58,1.82,0.64,1.61,0.09,0.68,No,188.71,No
Femenino,22,57,Chihuahua,Prepago,app,288,5,15,12,4.62,6.88,4.73,3.22,7.56,1.2,6.48,0.4,5.9,No,82.797,No
Femenino,48,30,México,Prepago,app,823,14,22,0,3.36,5.72,1.58,2.26,5.53,1.32,2.59,0.24,2.42,No,177.706,No
Masculino,36,53,CDMX,Postpago,tienda,763,11,18,3,1.36,4.39,1.4,1.86,5.63,2.74,5.31,1.64,1.9,No,170.219,No
Femenino,20,28,Guanajuato,Postpago,tienda,475,4,36,39,2.25,3.72,1.34,0.69,2.82,0.28,2.84,0.83,1.23,No,117.5,No
Masculino,38,63,Jalisco,Prepago,app,493,11,11,34,2.99,8.34,3.29,3.09,8.14,1.85,6.84,3.42,4.05,Sí,131.403,Sí
Femenino,66,10,Tlaxcala,Postpago,app,321,0,60,53,1.63,6.59,1.49,1.9,6.94,2,5.45,0.8,3.18,No,93.594,No
Femenino,15,38,México,Postpago,app,336,7,34,54,0,0,0,0,0,0,0,0,0,Sí,90.8,Sí
Femenino,23,27,Jalisco,Prepago,app,111,9,65,34,4.71,6.85,3.33,0.42,9.47,2.55,5.15,0.53,3.73,Sí,50.722,Sí
Femenino,53,14,Chihuahua,Postpago,app,106,6,33,20,0,0,0,0,0,0,0,0,0,Sí,30.95,Sí
Masculino,63,3,Quintana Roo,Postpago,app,480,14,23,37,2.3,3.02,1.64,0.9,3.47,2,1.97,1.59,1.53,No,114.226,No
Masculino,41,42,Yucatán,Prepago,app,150,14,66,23,4.06,5.36,1.76,2.47,7.7,3.15,6.7,0.35,3.45,Sí,57,Sí
Femenino,57,9,Puebla,Prepago,app,383,6,47,23,5.72,10.1,3.67,2.06,7.59,3.49,6.52,1.05,5.8,Sí,101,Sí
Femenino,55,58,Guanajuato,Prepago,tienda,688,2,4,23,2.47,6.29,4.02,2.77,6.65,1.64,4.91,3.72,5.54,No,164.803,No
Femenino,59,1,San Luis Potosi,Prepago,tienda,660,0,20,4,2.53,4.29,2.38,2.35,5.16,2.27,5.36,2.61,2.06,Sí,143.053,Sí
Masculino,61,40,México,Prepago,app,624,5,53,2,2.61,4.83,1.49,0.28,3.22,1.73,2.24,1.7,2.17,No,140.131,No
Femenino,17,58,Sonora,Postpago,tienda,867,6,21,53,4.96,6.81,2.96,0.34,7.12,3.5,4.5,0.67,2.55,No,209.073,No
Masculino,38,5,Jalisco,Prepago,app,991,5,30,40,2.2,3.74,1.07,1.69,5.42,2.14,4.11,0.36,3.27,No,219.65,No
Masculino,48,19,Puebla,Postpago,app,652,7,15,35,2.62,7.88,3.16,1.68,7.26,0.56,4.35,3.67,1.99,Sí,154.451,Sí
Femenino,68,47,Zacatecas,Postpago,app,956,0,28,4,5.41,9.71,4.1,2.88,7.04,2.41,5.11,0.4,3.93,No,213.147,No
Masculino,30,64,Nayarit,Prepago,app,836,10,42,36,3.07,5.51,1.53,2.01,5.47,0.61,3.88,1.95,2.96,Sí,197.797,Sí
Femenino,43,8,Chiapas,Prepago,app,600,12,45,5,2,4.51,2.66,2.14,4.16,1.36,4.25,1.63,2.3,No,132.453,No
Femenino,45,57,Veracruz,Prepago,tienda,709,0,32,44,3.4,8.92,4.42,3.66,5.78,2.16,6.54,2.38,4.72,Sí,177.744,Sí
Femenino,43,5,Hidalgo,Postpago,tienda,73,7,45,13,2.68,9.75,4.83,1.25,8.39,1.32,7.12,3.89,6.32,No,35.165,No
Femenino,31,18,CDMX,Prepago,app,874,8,27,3,0.84,2.26,1.23,0.77,1.53,0.58,1.62,0.48,0.7,No,182.753,No
Masculino,25,17,Durango,Prepago,tienda,564,2,20,36,0.88,1.41,1.21,0.35,1.83,0.85,1.12,0.66,0.56,No,129.811,No
Femenino,53,22,Morelos,Prepago,app,549,12,61,42,2.74,8.18,1.67,2.2,7.69,3.57,7.24,0.99,4.71,No,140.447,No
Masculino,36,59,Nuevo León,Postpago,app,988,9,56,11,7.45,9.4,6.73,0.54,8.11,2.64,7.83,4.31,3.69,Sí,227.76,Sí
Femenino,16,35,Veracruz,Prepago,tienda,690,4,56,34,2.03,3.58,2.05,1.73,3.4,1.62,4.34,0.8,2.05,Sí,162.73,Sí
Masculino,21,42,Oaxaca,Postpago,tienda,992,11,48,18,1.42,1.83,0.69,0.74,2.1,0.93,1.8,0.67,0.81,Sí,215.797,Sí
Masculino,33,20,Querétaro,Prepago,tienda,932,3,44,35,1.12,2.61,1.03,1.44,2.39,1.37,2.78,1.25,2,Sí,206.897,Sí
Masculino,43,25,Tamaulipas,Prepago,tienda,472,2,30,23,0.92,1.35,0.85,0.11,1.14,0.26,0.9,0.56,0.91,Sí,108.65,Sí
Masculino,15,65,Nuevo León,Postpago,app,256,0,17,46,4.65,7.51,2.02,0.36,7.86,2.39,7.02,3.04,4.15,Sí,87.3,Sí
Masculino,55,14,Guanajuato,Prepago,tienda,452,11,63,46,1.85,6.27,4.14,2.55,5.27,1.73,5.01,1.65,4.52,Sí,119.347,Sí
Masculino,24,28,Durango,Postpago,tienda,869,2,12,0,0.95,2.19,1.09,0.79,1.82,0.78,1.94,0.96,1.47,No,182.197,No
Masculino,57,68,"Campeche, Coahuila",Postpago,app,172,13,60,52,0.38,0.68,0.43,0.05,0.98,0.19,0.41,0.34,0.56,Sí,64.406,Sí
Femenino,57,43,Tabasco,Prepago,app,273,11,53,53,5.18,7.57,3.12,3.7,9.55,3.38,6.16,3.76,5.58,Sí,94,Sí
Masculino,70,21,Oaxaca,Prepago,app,227,7,5,50,3.52,11.17,2.35,2.44,7.57,0.64,7.7,4.61,4.72,Sí,77.216,Sí
Masculino,25,53,Quintana Roo,Postpago,tienda,268,2,12,42,3.57,8.55,2.12,2.7,7.71,2.13,4.41,0.35,3.48,Sí,85.256,Sí
Femenino,56,68,Yucatán,Prepago,tienda,670,2,13,4,2.72,4.41,2.01,1.44,4.54,1.44,1.87,1.06,2.52,No,152.653,No
Femenino,59,61,Michoacán,Postpago,app,344,8,50,32,3.13,8.49,3.1,0.92,9.4,3.5,4.91,0.83,4.25,Sí,101.609,Sí
Femenino,21,23,Chihuahua,Postpago,tienda,207,8,67,22,2.79,5.2,4.08,3.11,5.27,1.09,5.66,1.01,2.82,Sí,64.109,Sí
Masculino,53,28,Baja California Sur,Prepago,app,82,3,62,23,5.56,6.82,1.9,0.4,6.5,3.03,5.84,3.6,4.91,Sí,42.168,Sí
Masculino,20,20,Nuevo León,Prepago,app,324,13,41,7,1.76,4.79,1.05,0.35,4.69,1.92,2.92,0.45,2.47,Sí,78.07,Sí
Masculino,38,53,Chiapas,Postpago,app,304,14,12,7,2.75,5.6,3.81,1.91,5.38,1.04,3.95,0.49,4.03,No,80.138,No
Femenino,50,13,Veracruz,Prepago,tienda,252,2,42,33,4.52,11.19,3.94,0.54,10.03,5.68,7.58,2.96,4.92,Sí,79.758,Sí
Masculino,23,42,San Luis Potosi,Prepago,tienda,445,8,50,32,5.18,7.71,3.41,3.67,7.13,4.61,7.74,3.21,3.36,No,121.206,No
Masculino,61,23,México,Prepago,app,386,1,48,22,4.64,4.97,3.52,0.49,6.26,0.79,3.66,2.93,2.13,No,98.467,No
Femenino,41,13,Aguascalientes,Prepago,app,861,1,32,26,2.08,5.66,3.44,1.65,6.07,1.14,4.22,1.86,2.88,No,192.25,No
Masculino,67,64,Morelos,Prepago,tienda,797,13,50,12,3.54,5.75,3.66,3.36,5.5,0.76,6.28,3.4,4.74,No,186.197,No
Masculino,35,27,Tamaulipas,Prepago,app,291,5,53,2,4.74,9.63,2.97,2.74,7.8,0.55,9,1.72,7.12,No,79.381,No
Femenino,30,17,Tlaxcala,Prepago,app,642,10,23,25,5.72,6.51,2.22,4.17,7.37,1.92,6.45,3.56,5.07,Sí,152.497,Sí
Femenino,26,48,Chihuahua,Postpago,app,362,4,4,41,2.07,6.12,2.37,0.26,5.66,2.8,4.83,2.09,3.81,No,101.103,No
Femenino,49,35,Veracruz,Postpago,app,958,10,66,8,3.95,8.85,3.52,3.9,9.07,1.75,5.78,1.88,5.3,Sí,215.75,Sí
Masculino,53,11,Zacatecas,Prepago,tienda,104,10,26,30,4.53,8.96,6.34,0.56,10.88,0.64,9.15,2.73,3.2,Sí,46.847,Sí
Femenino,35,48,Tamaulipas,Prepago,app,263,13,65,10,4.31,5.39,1.43,1.88,5.76,2.96,3.56,2.65,2.06,Sí,75.05,Sí
Femenino,57,46,Aguascalientes,Postpago,tienda,723,5,58,47,1.83,3.81,1.05,0.18,4.11,0.56,1.94,0.9,2.01,Sí,173.417,Sí
Femenino,28,48,Baja California Sur,Prepago,app,857,12,59,48,0.55,1.32,0.36,0.38,1.17,0.48,0.74,0.43,0.58,No,197.753,No
Masculino,59,17,Chiapas,Prepago,tienda,723,7,59,36,4.04,8.54,2.56,1.37,8.43,4.46,10.35,2.39,6.79,No,175.579,No
Masculino,17,24,Baja California,Prepago,tienda,726,2,35,2,5.59,9.75,5.13,1.47,10.88,4.58,5.41,3.36,5.82,Sí,166.747,Sí
Masculino,15,9,Guanajuato,Postpago,tienda,195,4,53,33,1.14,2.99,2.28,1.22,3.35,0.37,2.62,0.63,2.4,No,58,No
Masculino,67,18,Colima,Postpago,tienda,249,2,6,32,6.04,8.39,3.08,4.27,10.83,5.02,5.91,4.78,2.69,Sí,77.703,Sí
Femenino,65,67,Jalisco,Postpago,app,89,14,44,38,1.95,5.76,1.83,1.39,5.42,2.5,4.71,1.48,2.97,Sí,49.853,Sí
Masculino,17,71,Sonora,Postpago,tienda,679,6,68,46,5.87,7.93,3.2,3.79,8.58,3.52,5.3,0.5,4.49,No,176.604,No
Femenino,61,67,Nayarit,Prepago,tienda,76,11,25,6,0.94,1.61,0.66,0.58,1.25,0.36,1.4,0.42,0.79,Sí,30.703,Sí
Femenino,45,66,Sinaloa,Postpago,app,299,6,35,42,1.19,4.67,2.72,1.11,3.76,1.27,3.29,0.89,3.1,No,90.65,No
Femenino,24,44,Durango,Prepago,tienda,463,7,45,19,0.71,2,0.79,0.57,1.5,0.69,1.27,0.45,1,No,109.844,No
Masculino,53,32,Hidalgo,Postpago,app,446,6,65,3,2.39,7.51,2.96,1.78,6.04,0.37,5.22,2.36,4.25,No,108.014,No
Masculino,16,35,Veracruz,Postpago,tienda,508,11,24,24,4.62,6.33,1.81,1.9,6.58,1.06,4.26,0.79,5.39,Sí,125.072,Sí
Femenino,15,5,San Luis Potosi,Prepago,app,730,3,70,21,1.83,4.87,0.97,0.82,3.86,0.72,4.38,1.51,2.48,Sí,162.982,Sí
Femenino,58,65,Morelos,Postpago,app,898,4,21,21,2.02,3.54,1.57,1.42,2.7,1.36,1.78,0.16,2.45,No,201.8,No
Masculino,61,59,Aguascalientes,Prepago,tienda,349,5,12,36,3.81,7.65,2.44,0.66,8.33,2.15,6.24,2.03,2.56,No,100.811,No
Femenino,46,15,Nuevo León,Prepago,tienda,465,2,69,24,0,0,0,0,0,0,0,0,0,Sí,105.9,Sí
Femenino,45,10,Chiapas,Prepago,tienda,886,14,31,36,1.99,2.79,1.08,0.76,4.4,1.4,2.38,0.92,2.07,No,196.387,No
Masculino,55,5,México,Postpago,app,897,0,10,18,1.59,2.87,0.67,1.49,3.3,0.37,3.15,0.25,2.18,Sí,190.811,Sí
Masculino,66,45,Morelos,Postpago,app,692,10,41,34,3.39,6.77,2.15,0.39,8.77,2.94,5.81,2.08,4.61,Sí,168.473,Sí
Masculino,54,64,Jalisco,Prepago,app,842,6,21,36,1.14,3.5,3.03,1.49,4.43,0.23,3.31,1.1,1.69,Sí,195.826,Sí
Masculino,25,36,Tamaulipas,Prepago,app,134,10,49,9,5.3,10.88,2.87,0.78,10.3,4.14,6.64,3.84,3.99,No,51.972,No
Femenino,18,52,Morelos,Postpago,tienda,264,14,38,20,6.33,10.88,5.96,0.61,10.85,0.6,8.3,2.7,6.76,Sí,84.397,Sí
Masculino,28,6,Baja California,Postpago,app,337,14,5,16,2.06,2.72,1.88,0.57,2.54,0.71,3.05,0.97,1.51,Sí,78.153,Sí
Masculino,20,2,Veracruz,Prepago,tienda,798,6,69,7,2.07,4.37,1.83,1.67,3.76,1.67,2.57,0.24,1.82,No,171.45,No
Masculino,62,28,Morelos,Postpago,tienda,299,10,6,8,0.98,2.64,0.91,0.33,1.71,1,1.34,0.7,0.68,Sí,69.787,Sí
Masculino,49,20,CDMX,Prepago,tienda,567,1,69,7,3.1,7.16,1.88,2.36,10.78,2.06,5.2,2.43,2.8,Sí,133.281,Sí
Masculino,54,54,Sonora,Prepago,app,598,1,33,1,1.03,1.46,0.95,0.77,1.89,0.38,1.18,0.43,0.9,No,132.347,No
Femenino,57,30,Nayarit,Postpago,app,144,0,12,39,1.64,3.19,1.55,0.88,2.6,0.69,2.45,0.32,1.68,No,50.1,No
