genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,Fuerza de ventas,churn
Masculino,15,25,Sonora,Prepago,app,68,7,62,19,2.21,4.18,1.44,0.92,2.77,1.75,3.41,0.72,1.6,31.85,No
Masculino,65,61,Jalisco,Prepago,tienda,158,3,48,14,0.82,3.29,0.93,1.35,3.15,0.98,1.63,0.26,1.13,51.412,No
Masculino,41,17,Chihuahua,Postpago,tienda,319,5,23,27,3.12,4.64,2.45,0.6,5.54,2.56,5.17,0.27,2.28,83.589,Sí
Masculino,52,24,Guanajuato,Prepago,app,311,7,48,7,0.72,1.14,0.98,0.29,1.52,0.32,0.88,0.07,0.5,72.226,Sí
Femenino,33,63,Jalisco,Prepago,tienda,81,6,47,51,3.06,12.47,2.15,3.94,10.8,3,7.41,2.71,5.46,58.6,Sí
Femenino,36,62,Tabasco,Prepago,app,447,12,10,10,0.76,2.01,0.68,0.56,1.8,0.83,1.1,0.12,0.81,104.801,No
Femenino,51,25,Puebla,Postpago,tienda,87,11,18,8,0.99,1.56,0.49,0.15,1.65,0.21,1.13,0.55,0.52,26.625,No
Femenino,48,70,Veracruz,Prepago,app,852,13,53,26,1.64,5.02,2.05,1.57,4.99,0.99,3.74,0.26,2.41,198.151,No
Masculino,67,19,CDMX,Prepago,tienda,555,14,11,20,1.94,4.65,0.86,0.2,4.92,0.89,3.82,1.52,1.2,126.4,No
Masculino,66,37,Baja_California_Sur,Postpago,app,246,11,8,25,3.17,4.98,3.3,0.3,4.22,1.27,4.92,0.25,2.59,70.15,Sí
Femenino,57,3,Quintana Roo,Postpago,tienda,124,11,37,28,2.48,4.72,2.44,0.29,4.95,2.25,5.42,1.88,1.52,43.285,No
Masculino,15,26,México,Postpago,tienda,343,10,29,43,5.15,6,2.96,3.3,9.19,1.35,7.22,3.33,4.49,99.747,Sí
Femenino,46,17,Yucatán,Prepago,app,570,9,41,8,0.55,1.33,0.5,0.26,1.25,0.66,1.28,0.66,0.75,123.172,No
Masculino,45,23,Jalisco,Postpago,app,22,10,4,17,1.95,3.76,1.4,1.02,3.17,0.68,2.84,1.25,0.93,18.25,Sí
Masculino,45,51,Colima,Prepago,app,389,2,43,39,2.67,7.25,2.3,3.48,7.42,1.67,4.69,3.78,3.64,110.37,Sí
Femenino,34,32,Michoacán,Postpago,tienda,822,2,21,47,6.51,8.25,3.53,1.29,10.89,2.05,7.1,2.26,5.11,198.447,No
Femenino,26,27,Oaxaca,Prepago,tienda,872,2,12,52,4.09,10.58,6.29,1.13,11.02,3.93,8.63,0.52,5.06,210.025,No
Masculino,55,49,Jalisco,Prepago,app,624,0,40,43,4.87,7.28,2.44,2.21,10.49,2.09,8.37,0.43,4.02,159.71,No
Masculino,69,15,"Campeche, Coahuila",Prepago,app,47,10,57,53,5.5,10.1,3.74,1.26,11.3,2.89,9.76,3.69,4.77,46.303,No
